,oci_cat,oci,area_sq_ft,seg_cd,total_count,day_diff,func_cat,pvm_cat,status_cat
116,1,66.74,19759.994,3,0.0,0,2,1,1
117,1,78.87,19708.078,3,0.0,0,2,1,1
118,1,69.77,19968.062,3,0.0,0,2,1,1
119,1,69.77,19968.062,3,0.0,0,2,1,1
120,1,67.32,19864.062,3,0.0,0,2,1,1
121,1,67.39,19084.281,3,0.0,0,2,1,1
122,1,64.91,19915.994,3,0.0,0,2,1,1
123,1,47.43,19499.994,3,0.0,0,2,1,1
124,1,47.43,19499.994,3,0.0,0,2,1,1
125,1,65.59,19968.078,3,0.0,0,2,1,1
126,1,89.25,18899.994,3,0.0,0,2,1,1
127,1,89.25,18899.994,3,0.0,0,2,1,1
128,1,81.98,17144.996,3,0.0,0,2,1,1
129,1,84.2,19400.074,3,0.0,0,2,1,1
130,1,78.86,19916.266,3,0.0,0,2,1,1
131,1,86.56,19344.275,3,0.0,0,2,1,1
132,1,89.02,20176.281,3,0.0,0,2,1,1
133,1,89.02,20176.281,3,0.0,0,2,1,1
134,1,70.71,20280.594,3,0.0,0,2,1,1
135,1,75.55,19604.084,3,0.0,194,2,1,1
136,1,75.55,19604.084,3,0.0,0,2,1,1
137,1,77.93,19969.076,3,0.0,194,2,1,1
138,1,77.93,19969.076,3,0.0,0,2,1,1
139,1,67.91,20124.363,3,0.0,0,2,1,1
140,1,76.27,23720.129,3,0.0,0,1,1,1
141,1,92.0,11560.0,3,0.0,0,1,1,1
142,1,83.14,29927.832,3,0.0,0,5,1,1
143,1,65.33,33143.355,3,0.0,0,2,1,1
144,1,65.33,33143.355,3,0.0,0,2,1,1
145,1,77.96,24856.0,3,0.0,0,2,1,1
146,1,77.96,24856.0,3,0.0,0,2,1,1
147,1,91.24,17212.0,3,0.0,0,2,1,1
148,1,91.24,17212.0,3,0.0,0,2,1,1
149,1,85.14,17212.0,3,0.0,0,2,1,1
150,1,85.14,17212.0,3,0.0,0,2,1,1
151,1,83.64,17160.078,3,0.0,0,2,1,1
152,1,83.64,17160.078,3,0.0,0,2,1,1
153,1,87.24,17004.0,3,0.0,0,2,1,1
154,1,87.24,17004.0,3,0.0,0,2,1,1
155,1,90.31,22984.062,3,0.0,0,2,1,1
156,1,90.31,22984.062,3,0.0,0,2,1,1
157,1,80.04,12064.119,3,0.0,0,2,1,1
158,1,80.04,12064.119,3,0.0,0,2,1,1
159,1,80.44,12843.989,3,0.0,0,2,1,1
160,1,80.44,12843.989,3,0.0,0,2,1,1
161,1,98.24,19812.062,3,0.0,0,2,1,1
162,1,98.24,19812.062,3,0.0,0,2,1,1
163,1,92.43,19604.084,3,0.0,0,2,1,1
164,1,92.43,19604.084,3,0.0,0,2,1,1
165,1,93.44,19915.994,3,0.0,0,2,1,1
166,1,93.44,19915.994,3,0.0,0,2,1,1
167,1,96.36,19760.062,3,0.0,0,2,1,1
168,1,96.36,19760.062,3,0.0,0,2,1,1
169,1,91.49,19500.01,3,0.0,0,2,1,1
170,1,91.49,19500.01,3,0.0,0,2,1,1
171,1,89.28,19968.062,3,0.0,0,2,1,1
172,1,89.28,19968.062,3,0.0,0,2,1,1
173,1,90.64,20071.994,3,0.0,0,2,1,1
174,1,90.64,20071.994,3,0.0,0,2,1,1
175,1,86.3,19760.285,3,0.0,0,2,1,1
176,1,86.3,19760.285,3,0.0,0,2,1,1
177,1,93.35,19707.994,3,0.0,0,2,1,1
178,1,93.35,19707.994,3,0.0,0,2,1,1
179,1,86.02,19603.994,3,0.0,0,2,1,1
180,1,86.02,19603.994,3,0.0,0,2,1,1
181,1,86.5,19916.01,3,0.0,0,2,1,1
182,1,86.5,19916.01,3,0.0,0,2,1,1
183,1,82.09,19760.062,3,0.0,0,2,1,1
184,1,82.09,19760.27,3,0.0,0,2,1,1
185,1,85.28,19656.084,3,0.0,0,2,1,1
186,1,90.09,20072.062,3,0.0,0,2,1,1
187,1,80.74,19864.062,3,0.0,0,2,1,1
188,1,68.25,18927.994,3,0.0,0,2,1,1
189,1,69.16,19915.994,3,0.0,0,2,1,1
190,1,79.91,19604.062,3,0.0,0,2,1,1
191,1,67.58,19760.01,3,0.0,0,2,1,1
192,1,77.68,19759.994,3,0.0,0,2,1,1
193,1,82.2,14478.046,3,0.0,154,2,1,1
194,1,82.2,14478.046,3,0.0,0,2,1,1
195,1,84.5,14706.057,3,0.0,154,2,1,1
196,1,84.5,14706.057,3,0.0,0,2,1,1
197,1,85.14,19864.266,3,0.0,0,2,1,1
198,1,69.4,19396.068,3,0.0,0,2,1,1
199,1,80.25,20072.078,3,0.0,0,2,1,1
200,1,83.25,19864.078,3,0.0,798,2,1,1
201,1,92.8,9865.044,3,0.0,154,1,1,1
202,1,92.8,9865.044,3,0.0,0,1,1,1
203,1,84.78,6253.218,3,0.0,154,1,1,1
204,1,84.78,6253.218,3,0.0,0,1,1,1
205,1,77.59,29820.24,3,0.0,0,3,1,1
