,oci,seg_length_ft,seg_width_ft,area_sq_ft,oci_wt,seg_cd,length,width,paving_miles,oci_cat,func_cat,pvm_cat,status_cat,day_diff
57,89.28,386.0015,52.0,20072.078,1792035.1,3,387,52,0.1465909,1,2,1,1,0
58,66.62,392.0114,60.0,23520.684,1566948.0,3,393,60,0.14886364,1,1,1,1,0
59,76.69,384.0012,60.0,23040.072,1766989.2,3,385,60,0.14583333,1,2,1,4,194
60,86.71,383.012,60.0,22980.72,1992612.2,3,384,60,0.14545454,1,2,1,4,194
61,69.8,348.0014,30.0,10440.042,728673.2,3,349,30,0.06609848,1,5,1,1,0
62,71.5,348.0014,30.0,10440.042,746421.25,3,349,30,0.06609848,1,5,1,1,0
63,81.1,713.0009,30.0,21390.027,1734688.4,3,714,30,0.13522728,1,5,1,1,0
64,86.13,660.0007,40.0,26400.027,2273781.5,3,661,40,0.1251894,1,1,1,1,0
65,71.06,659.003,40.0,26360.12,1873097.4,3,660,40,0.125,1,1,1,1,0
66,56.76,380.0002,40.0,15200.008,862782.9,3,381,40,0.07215909,1,1,1,1,0
67,52.52,382.1262,40.0,15285.048,802770.75,3,383,40,0.07253788,1,1,1,1,0
68,79.5,377.9999,60.0,22679.994,1803059.5,3,378,60,0.14318182,1,1,1,2,154
69,79.5,377.9999,60.0,22679.994,1803059.5,3,378,60,0.14318182,1,1,1,1,0
70,70.14,383.0002,60.0,22980.012,1611818.0,3,384,60,0.14545454,1,1,1,2,154
71,70.14,383.0002,60.0,22980.012,1611818.0,3,384,60,0.14545454,1,1,1,1,0
72,46.91,379.0012,60.0,22740.072,1066736.8,3,380,60,0.14393939,1,1,1,2,154
73,46.91,379.0012,60.0,22740.072,1066736.8,3,380,60,0.14393939,1,1,1,1,0
74,48.3,379.9999,60.0,22799.994,1101239.8,3,380,60,0.14393939,1,1,1,2,154
75,48.3,379.9999,60.0,22799.994,1101239.8,3,380,60,0.14393939,1,1,1,1,0
76,55.5,381.0015,60.0,22860.09,1268735.0,3,382,60,0.14469697,1,1,1,2,154
77,55.5,381.0015,60.0,22860.09,1268735.0,3,382,60,0.14469697,1,1,1,1,0
78,48.1,381.9999,60.0,22919.994,1102451.8,3,382,60,0.14469697,1,1,1,2,154
79,48.1,381.9999,60.0,22919.994,1102451.8,3,382,60,0.14469697,1,1,1,1,0
80,57.76,380.0052,60.0,22800.312,1316946.0,3,381,60,0.14431818,1,2,1,2,154
81,57.76,380.0052,60.0,22800.312,1316946.0,3,381,60,0.14431818,1,2,1,1,0
82,67.35,382.0051,52.0,19864.266,1337858.2,3,383,52,0.14507575,1,2,1,1,0
83,69.62,375.0119,52.0,19500.62,1357594.1,3,376,52,0.14242424,1,2,1,1,0
84,62.59,385.0,52.0,20020.0,1252971.8,3,385,52,0.14583333,1,2,1,1,0
85,78.98,378.0118,52.0,19656.613,1552400.8,3,379,52,0.1435606,1,2,1,1,0
86,78.98,378.0118,52.0,19656.613,1552400.8,3,379,52,0.1435606,1,2,1,1,0
87,78.98,378.0118,52.0,19656.613,1552400.8,3,379,52,0.1435606,1,2,1,1,0
88,93.22,381.0051,52.0,19812.266,1846899.4,3,382,52,0.14469697,1,2,1,1,0
89,93.12,383.0642,52.0,19919.338,1854888.8,3,384,52,0.14545454,1,2,1,1,0
90,79.18,391.005,52.0,20332.26,1609908.4,3,392,52,0.14848484,1,2,1,1,0
91,87.12,386.9999,52.0,20123.994,1753282.9,3,387,52,0.1465909,1,2,1,1,0
92,78.2,379.0213,52.0,19709.107,1541331.0,3,380,52,0.14393939,1,2,1,1,0
93,68.25,385.9999,52.0,20071.994,1369913.6,3,386,52,0.14621212,1,2,1,1,0
94,74.26,1271.0201,30.0,38130.6,2831426.0,3,1272,30,0.24090908,1,1,1,1,0
95,63.42,302.0017,56.0,16912.096,1072497.4,3,303,56,0.11477273,1,1,1,1,0
96,72.11,348.0,56.0,19488.0,1405357.6,3,348,56,0.13181818,1,5,1,1,0
97,76.6,348.0229,56.0,19489.283,1492879.0,3,349,56,0.13219696,1,5,1,1,0
98,58.0,232.0002,50.0,11600.01,672800.56,3,233,50,0.08825757,1,5,1,1,0
99,82.29,481.0011,50.0,24050.055,1979030.9,3,482,50,0.18257576,1,2,1,1,0
100,91.58,605.0006,45.0,27225.027,2493322.5,3,606,45,0.11477273,1,2,1,1,0
101,77.58,477.0011,45.0,21465.049,1665344.4,3,478,45,0.090530306,1,2,1,1,0
102,76.61,661.0,45.0,29745.0,2278824.0,3,661,45,0.1251894,1,2,1,1,0
103,79.08,658.0008,45.0,29610.035,2341561.8,3,659,45,0.124810606,1,2,1,1,0
104,72.92,675.007,45.0,30375.314,2214907.2,3,676,45,0.1280303,1,2,1,1,0
105,69.99,245.9998,52.0,12791.989,895336.94,3,246,52,0.09318182,1,2,1,1,0
106,67.99,378.9999,52.0,19707.994,1339946.6,3,379,52,0.1435606,1,2,1,1,0
107,89.28,380.9999,52.0,19811.994,1768814.9,3,381,52,0.14431818,1,2,1,1,0
108,86.39,384.0012,52.0,19968.062,1725080.9,3,385,52,0.14583333,1,2,1,1,0
109,92.15,382.0015,52.0,19864.078,1830435.0,3,383,52,0.14507575,1,2,1,1,0
110,89.08,379.0012,52.0,19708.062,1755554.8,3,380,52,0.14393939,1,2,1,1,0
111,78.58,377.0052,52.0,19604.27,1540582.0,3,378,52,0.14318182,1,2,1,1,0
112,78.58,377.0052,52.0,19604.27,1540582.0,3,378,52,0.14318182,1,2,1,1,0
113,65.54,383.0015,52.0,19916.078,1305339.6,3,384,52,0.14545454,1,2,1,1,0
114,65.54,383.0015,52.0,19916.078,1305339.6,3,384,52,0.14545454,1,2,1,1,0
