id,street_name,limits,northbound_count,southbound_count,eastbound_count,westbound_count,total_count,file_no,date_count
01AV007413,01 AV,SD 005  - ELM ST,16050,,,,16050,0074-13,2013-02-14
01AV114414,01 AV,SD 005  - ELM ST,13708,,,,13708,1144-14,2014-08-05
01AV005821,01 AV,SD 005 SD 005 - ELM ST,3008,,,,3008,0058-21,2021-03-17
01AV117914,01 AV,SPRUCE ST - REDWOOD ST,2865,2558,,,5423,1179-14,2014-10-01
01AV117814,01 AV,SPRUCE ST - THORN ST,2384,2477,,,4861,1178-14,2014-10-01
01AV012107,01 AV,UNIVERSITY AV - WASHINGTON ST,3710,2340,,,6050,0121-07,2007-03-07
01AV010310,01 AV,UNIVERSITY AV - WASHINGTON ST,3270,2310,,,5580,0103-10,2010-03-16
01AV007513,01 AV,UNIVERSITY AV - WASHINGTON ST,3526,2448,,,5974,0075-13,2013-02-07
01AV006317,01 AV,UNIVERSITY AV - WASHINGTON ST,2978,2569,,,5547,0063-17,2017-03-15
01AV009818,01 AV,UNIVERSITY AV - WASHINGTON ST,4930,4369,,,9299,0098-18,2018-03-15
01AV003121,01 AV,UNIVERSITY AV - WASHINGTON ST,2740,2209,,,4949,0031-21,2021-03-04
01AV008405,01 AV,WASHINGTON ST - LEWIS ST,5400,,,,5400,0084-05,2005-03-30
01AV013008,01 AV,WASHINGTON ST - LEWIS ST,5240,,,,5240,0130-08,2008-03-20
01AV032111,01 AV,WASHINGTON ST - LEWIS ST,5305,,,,5305,0321-11,2011-05-26
01AV001614,01 AV,WASHINGTON ST - LEWIS ST,4833,,,,4833,0016-14,2014-02-11
01AV007018,01 AV,WASHINGTON ST - LEWIS ST,4874,,,,4874,0070-18,2018-03-13
02AV017605,02 AV,A ST - ASH ST,1070,2560,,,3630,0176-05,2005-03-29
02AV018308,02 AV,A ST - ASH ST,620,2470,,,3090,0183-08,2008-03-27
02AV035811,02 AV,A ST - ASH ST,670,2020,,,2690,0358-11,2011-06-16
02AV001714,02 AV,A ST - ASH ST,599,2204,,,2803,0017-14,2014-02-11
02AV006018,02 AV,A ST - ASH ST,617,2501,,,3118,0060-18,2018-03-13
02AV020006,02 AV,BEECH ST - CEDAR ST,830,3260,,,4090,0200-06,2006-04-19
02AV027409,02 AV,BEECH ST - CEDAR ST,915,3315,,,4230,0274-09,2009-04-21
02AV029212,02 AV,BEECH ST - CEDAR ST,749,2988,,,3737,0292-12,2012-04-19
02AV036415,02 AV,BEECH ST - CEDAR ST,593,2330,,,2923,0364-15,2015-06-03
02AV008416,02 AV,BEECH ST - CEDAR ST,665,3465,,,4130,0084-16,2016-04-06
02AV018307,02 AV,CEDAR ST - ELM ST,350,4830,,,5180,0183-07,2007-03-13
02AV015310,02 AV,CEDAR ST - ELM ST,725,3180,,,3905,0153-10,2010-03-18
02AV015310,02 AV,CEDAR ST - ELM ST,646,3619,,,4265,0153-10,2013-03-12
02AV007821,02 AV,CEDAR ST - ELM ST,283,3110,,,3393,0078-21,2021-03-10
03AV018407,03 AV,A ST - ASH ST,4710,,,,4710,0184-07,2007-03-13
03AV015410,03 AV,A ST - ASH ST,4540,,,,4540,0154-10,2010-03-18
03AV018413,03 AV,A ST - ASH ST,4259,,,,4259,0184-13,2013-03-12
03AV007921,03 AV,A ST - ASH ST,3967,,,,3967,0079-21,2021-03-30
03AV058507,03 AV,B ST - A ST,6550,580,,,7130,0585-07,2008-01-08
03AV000911,03 AV,B ST - A ST,6030,780,,,6810,0009-11,2011-02-09
03AV001814,03 AV,B ST - A ST,4337,1482,,,5819,0018-14,2014-02-11
03AV025601,03 AV,BEECH ST - CEDAR ST,2310,,,,2310,0256-01,2011-08-17
03AV001914,03 AV,BEECH ST - CEDAR ST,1985,,,,1985,0019-14,2014-02-11
03AV069111,03 AV,BROADWAY  - C ST,2455,2605,,,5060,0691-11,2011-08-17
03AV002014,03 AV,BROADWAY  - C ST,2022,1802,,,3824,0020-14,2014-02-25
03AV060407,03 AV,C ST - B ST,2240,1990,,,4230,0604-07,2008-01-08
03AV001011,03 AV,C ST - B ST,2375,2105,,,4480,0010-11,2011-02-15
03AV002114,03 AV,C ST - B ST,1182,2437,,,3619,0021-14,2014-02-25
03AV113214,03 AV,DATE ST - CEDAR ST,2172,,,,2172,1132-14,2014-07-08
03AV027519,03 AV,ELM  ST - SD 005 ,4031,,,,4031,0275-19,2019-10-01
03AV068811,03 AV,HAWTHORN AV - GRAPE ST,1405,255,,,1660,0688-11,2011-08-30
03AV002214,03 AV,HAWTHORN AV - GRAPE ST,231,1342,,,1573,0022-14,2014-02-11
03AV024519,03 AV,UNIVERSITY  AV - WASHINGTON  ST,1699,868,,,2567,0245-19,2019-08-28
03AV040105,03 AV,UNIVERSITY AV - WASHINGTON ST,2500,1680,,,4180,0401-05,2005-08-30
03AV018908,03 AV,UNIVERSITY AV - WASHINGTON ST,2090,1640,,,3730,0189-08,2008-03-27
03AV035911,03 AV,UNIVERSITY AV - WASHINGTON ST,1860,1320,,,3180,0359-11,2011-06-15
03AV002314,03 AV,UNIVERSITY AV - WASHINGTON ST,1023,1410,,,2433,0023-14,2014-02-11
03AV083415,03 AV,UNIVERSITY AV - WASHINGTON ST,2074,1133,,,3207,0834-15,2015-08-19
04AV069311,04 AV,A ST - ASH ST,,10990,,,10990,0693-11,2011-08-17
04AV002414,04 AV,A ST - ASH ST,,7786,,,7786,0024-14,2014-02-11
04AV102815,04 AV,ASH ST - BEECH ST,,10460,,,10460,1028-15,2015-10-27
04AV011519,04 AV,ASH ST - BEECH ST,,12009,,,12009,0115-19,2019-06-06
04AV058607,04 AV,B ST - A ST,,8570,,,8570,0586-07,2008-01-08
04AV018607,04 AV,BEECH ST - CEDAR ST,,13290,,,13290,0186-07,2007-03-13
04AV015610,04 AV,BEECH ST - CEDAR ST,,13760,,,13760,0156-10,2010-03-17
04AV018513,04 AV,BEECH ST - CEDAR ST,,13031,,,13031,0185-13,2013-03-12
04AV008121,04 AV,BEECH ST - CEDAR ST,,7052,,,7052,0081-21,2021-03-10
04AV045806,04 AV,BROADWAY  - C ST,,8830,,,8830,0458-06,2006-10-09
04AV063409,04 AV,BROADWAY  - C ST,,8280,,,8280,0634-09,2009-10-08
04AV063112,04 AV,BROADWAY  - C ST,,10430,,,10430,0631-12,2012-08-07
04AV042116,04 AV,BROADWAY  - C ST,,7159,,,7159,0421-16,2016-10-25
04AV046206,04 AV,C ST - B ST,,10500,,,10500,0462-06,2006-10-10
04AV058707,04 AV,C ST - B ST,,8980,,,8980,0587-07,2008-01-08
04AV072308,04 AV,C ST - B ST,,10050,,,10050,0723-08,2008-12-04
04AV065009,04 AV,C ST - B ST,,8790,,,8790,0650-09,2009-10-06
04AV063012,04 AV,C ST - B ST,,7487,,,7487,0630-12,2012-08-07
04AV043716,04 AV,C ST - B ST,,8196,,,8196,0437-16,2016-10-25
04AV018507,04 AV,CEDAR ST - DATE ST,,14350,,,14350,0185-07,2007-03-13
04AV015510,04 AV,CEDAR ST - DATE ST,,10255,,,10255,0155-10,2010-03-17
04AV018613,04 AV,CEDAR ST - DATE ST,,12542,,,12542,0186-13,2013-03-12
04AV008021,04 AV,CEDAR ST - DATE ST,,9196,,,9196,0080-21,2021-03-10
04AV008705,04 AV,DATE ST - ELM ST,,12960,,,12960,0087-05,2005-03-29
04AV069211,04 AV,DATE ST - ELM ST,,11090,,,11090,0692-11,2011-08-17
04AV002514,04 AV,DATE ST - ELM ST,,9105,,,9105,0025-14,2014-02-11
04AV114714,04 AV,DATE ST - ELM ST,,9124,,,9124,1147-14,2014-08-05
04AV056315,04 AV,DATE ST - ELM ST,,9566,,,9566,0563-15,2015-03-04
04AV005318,04 AV,DATE ST - ELM ST,,9805,,,9805,0053-18,2018-03-13
