seg_id,oci,street,street_from,street_to,seg_length_ft,seg_width_ft,func_class,pvm_class,area_sq_ft,oci_desc,oci_wt
SA-000616,69.56,ALLEY,,,656.0374,30,Alley,PCC Jointed Concrete,19681.122,Fair,1369018.846
SA-000618,88.79,ALLEY,,,656.0274,30,Alley,PCC Jointed Concrete,19680.822,Good,1747460.185
SA-000619,70.40,ALLEY,,,470.5659,30,Alley,PCC Jointed Concrete,14116.977,Good,993835.1808
SA-000622,62.54,ALLEY,,,807.692,30,Alley,PCC Jointed Concrete,24230.76,Fair,1515391.73
SA-000623,66.71,ALLEY,,,453.3385,30,Alley,PCC Jointed Concrete,13600.155,Fair,907266.3401
SA-000625,93.52,ALLEY,,,467.6614,30,Alley,PCC Jointed Concrete,14029.842,Good,1312070.824
SA-000626,71.82,ALLEY,,,644.0381,30,Alley,PCC Jointed Concrete,19321.143,Good,1387644.49
SA-000627,61.32,ALLEY,,,343.0233,30,Alley,PCC Jointed Concrete,10290.699,Fair,631025.6627
SA-000632,80.49,ALLEY,,,165.003,30,Alley,PCC Jointed Concrete,4950.09,Good,398432.7441
SA-000634,67.52,ALLEY,,,164.9997,30,Alley,PCC Jointed Concrete,4949.991,Fair,334243.1923
SA-000638,62.30,ALLEY,,,663.0611,30,Alley,PCC Jointed Concrete,19891.833,Fair,1239261.196
SA-000639,42.88,ALLEY,,,643.063,30,Alley,PCC Jointed Concrete,19291.89,Fair,827236.2432
SA-000641,76.26,ALLEY,,,647.8831,30,Alley,PCC Jointed Concrete,19436.493,Good,1482226.956
SA-000642,87.14,ALLEY,,,666.1081,30,Alley,PCC Jointed Concrete,19983.243,Good,1741339.795
SA-000643,68.91,ALLEY,,,302.7602,30,Alley,PCC Jointed Concrete,9082.806,Fair,625896.1615
SA-000644,67.47,ALLEY,,,655.1099,30,Alley,PCC Jointed Concrete,19653.297,Fair,1326007.949
SA-000645,72.84,ALLEY,,,664.0271,30,Alley,PCC Jointed Concrete,19920.813,Good,1451032.019
SA-000646,89.86,ALLEY,,,648.0278,30,Alley,PCC Jointed Concrete,19440.834,Good,1746953.343
SA-000647,71.10,ALLEY,,,656.0373,30,Alley,PCC Jointed Concrete,19681.119,Good,1399327.561
SA-000651,75.15,ALLEY,,,669.0119,30,Alley,PCC Jointed Concrete,20070.357,Good,1508287.329
SA-000652,86.21,ALLEY,,,656.0488,30,Alley,PCC Jointed Concrete,19681.464,Good,1696739.011
SA-000653,69.39,ALLEY,,,671.0067,30,Alley,PCC Jointed Concrete,20130.201,Fair,1396834.647
SA-000654,73.61,ALLEY,,,656.0122,30,Alley,PCC Jointed Concrete,19680.366,Good,1448671.741
SA-000655,85.28,ALLEY,,,564.2723,30,Alley,PCC Jointed Concrete,16928.169,Good,1443634.252
SA-000656,74.15,ALLEY,,,657.0274,30,Alley,PCC Jointed Concrete,19710.822,Good,1461557.451
SA-000657,74.81,ALLEY,,,659.0273,30,Alley,PCC Jointed Concrete,19770.819,Good,1479054.969
SA-000658,65.79,ALLEY,,,645.0628,30,Alley,PCC Jointed Concrete,19351.884,Fair,1273160.448
SA-000659,60.88,ALLEY,,,658.0274,30,Alley,PCC Jointed Concrete,19740.822,Fair,1201821.243
SA-000660,95.40,ALLEY,,,155.0032,30,Alley,AC Improved,4650.096,Good,443619.1584
SA-000661,76.31,ALLEY,,,829.5929,30,Alley,PCC Jointed Concrete,24887.787,Good,1899187.026
SA-000663,46.48,ALLEY,,,680.0735,30,Alley,PCC Jointed Concrete,20402.205,Fair,948294.4884
SA-000664,69.14,ALLEY,,,670.0803,30,Alley,PCC Jointed Concrete,20102.409,Fair,1389880.558
SA-000665,43.26,ALLEY,,,680.0735,30,Alley,PCC Jointed Concrete,20402.205,Fair,882599.3883
SA-000666,83.59,ALLEY,,,533.6672,30,Alley,PCC Jointed Concrete,16010.016,Good,1338277.237
